date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:27	341/341	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2009%20Jun%202024%2006:45:27%20GMT	https://themetechmount.com/html/altech-advanced	C:/Users/acer/Desktop/teckengin/tem/themetechmount.com/html/altech-advanced.0.delayed	(from )
12:15:28	88974/88974	---M-Z	200	added ('OK')	text/html	etag:%2215b8e-616fea14271c5-gzip%22	https://themetechmount.com/html/altech-advanced/	C:/Users/acer/Desktop/teckengin/tem/themetechmount.com/html/altech-advanced/index.html	(from )
12:15:29	118/118	---M-Z	200	added ('OK')	text/plain	date:Sun,%2009%20Jun%202024%2006:45:28%20GMT	https://themetechmount.com/robots.txt		(from )
12:15:30	1638/1638	---M--	200	added ('OK')	image/png	etag:%22666-616fea1b0ec41%22	https://themetechmount.com/html/altech-advanced/images/favicon.png	C:/Users/acer/Desktop/teckengin/tem/themetechmount.com/html/altech-advanced/images/favicon.png	(from https://themetechmount.com/html/altech-advanced/)
12:15:30	232691/232691	---M-Z	200	added ('OK')	text/css	etag:%2238cf3-616fea32afdba-gzip%22	https://themetechmount.com/html/altech-advanced/css/bootstrap.min.css	C:/Users/acer/Desktop/teckengin/tem/themetechmount.com/html/altech-advanced/css/bootstrap.min.css	(from https://themetechmount.com/html/altech-advanced/)
12:15:30	70238/70238	---M-Z	200	added ('OK')	text/css	etag:%221125e-616fea313cbf8-gzip%22	https://themetechmount.com/html/altech-advanced/css/animate.css	C:/Users/acer/Desktop/teckengin/tem/themetechmount.com/html/altech-advanced/css/animate.css	(from https://themetechmount.com/html/altech-advanced/)
12:15:31	59251/59251	---M-Z	200	added ('OK')	text/css	etag:%22e773-616fea30f380b-gzip%22	https://themetechmount.com/html/altech-advanced/css/all.min.css	C:/Users/acer/Desktop/teckengin/tem/themetechmount.com/html/altech-advanced/css/all.min.css	(from https://themetechmount.com/html/altech-advanced/)
12:15:31	8342/8342	---M-Z	200	added ('OK')	text/css	etag:%222096-616fea31f7479-gzip%22	https://themetechmount.com/html/altech-advanced/css/fontello.css	C:/Users/acer/Desktop/teckengin/tem/themetechmount.com/html/altech-advanced/css/fontello.css	(from https://themetechmount.com/html/altech-advanced/)
12:15:31	3100/3100	---M-Z	200	added ('OK')	text/css	etag:%22c1c-616fea317c3a3-gzip%22	https://themetechmount.com/html/altech-advanced/css/flaticon.css	C:/Users/acer/Desktop/teckengin/tem/themetechmount.com/html/altech-advanced/css/flaticon.css	(from https://themetechmount.com/html/altech-advanced/)
12:15:32	13880/13880	---M-Z	200	added ('OK')	text/css	etag:%223638-616fea32f4386-gzip%22	https://themetechmount.com/html/altech-advanced/css/themify-icons.css	C:/Users/acer/Desktop/teckengin/tem/themetechmount.com/html/altech-advanced/css/themify-icons.css	(from https://themetechmount.com/html/altech-advanced/)
